1990	1	1	0	271.271	65.4086	10.8414	0	220.441	978.442	0.013
1990	1	1	6	271.175	65.9873	11.5618	0	236.75	977.326	0.14
1990	1	1	12	269.469	66.7676	10.1877	0	236.082	982.362	0.0565
1990	1	1	18	268.089	68.8558	11.4159	0	240.934	982.108	0.0955
1990	1	2	0	264.588	72.4496	9.5046	0	184.812	985.979	0.013
1990	1	2	6	263.444	75.6238	8.9038	0	199	987.597	0.061
1990	1	2	12	263.025	77.8217	9.1946	0	200.625	990.638	0.149
1990	1	2	18	261.988	79.5193	6.3971	0	179.712	993.687	0.01
1990	1	3	0	259.436	88.2092	3.9173	0	181.407	996.254	0.014
1990	1	3	6	258.234	87.6667	3.057	0	190.258	997.148	0.011
1990	1	3	12	257.593	87.4044	2.9935	0	203.541	996.903	0.003
1990	1	3	18	255.688	87.0043	2.0298	0	212.637	995.439	0.0025
1990	1	4	0	256.531	84.7278	1.7957	0	210.931	993.053	0.017
1990	1	4	6	257.749	85.3441	2.0782	0	234.226	989.222	0.034
1990	1	4	12	257.371	85.7634	1.7873	0	226.59	986.451	0.019
1990	1	4	18	258.47	85.8099	1.3324	0	237.85	983.406	0.0085
1990	1	5	0	258.889	86.6165	2.1062	0	228.97	979.95	0.0045
1990	1	5	6	260.574	85.8623	2.2401	0	231.254	976.54	0.09
1990	1	5	12	262.556	86.2848	2.5843	0	257.94	976.756	0.045
1990	1	5	18	265.343	87.4373	3.0645	0	257.584	979.291	0.022
1990	1	6	0	266.645	90.3073	2.5408	0	260.779	982.378	0.1195
1990	1	6	6	264.723	94.185	1.5184	0	258.423	985.27	0.0685
1990	1	6	12	262.69	94.7759	1.0404	0	258.398	988.606	0.058
1990	1	6	18	263.972	91.3539	2.8984	0	273.148	990.794	0.1245
1990	1	7	0	264.944	89.8934	5.768	0	271.519	991.153	0.6505
1990	1	7	6	266.906	92.2173	5.911	0	276.369	988.544	0.2165
1990	1	7	12	266.624	94.2932	5.0833	0	279.421	984.654	0.19
1990	1	7	18	266.964	93.7941	4.6249	0	283.429	977.967	2.02
1990	1	8	0	267.621	92.802	0.9195	0	283.392	972.706	1.385
1990	1	8	6	266.007	92.0017	1.2641	0	254.162	973.635	0.052
1990	1	8	12	264.591	92.3327	0.9942	0	243.298	975.103	0.1585
